Policy ID,Purpose of the Security Policy,Scope of the Security Policy,Policy,Procedure,Roles and Responsibilities,Risk and Sanction,Incident Response,Creation Date,Last Updated,Status
POL-667,Define information boundaries,All business units,Access control implementation,Report incidents in 24 hours,IT Security Team for access control,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-668,Incident communication,All information incidents,Access control implementation,Minimum 12-character passwords,IT Security Team for access control,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-669,Acceptable resource use,All information incidents,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-670,Incident communication,All network devices,Regular updates and patches,Document risk findings quarterly,Response Team for incidents,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-671,Acceptable resource use,All systems and data,Quarterly risk assessments,Document access requests,IT Security Team for access control,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-672,Define information boundaries,All information incidents,Incident reporting protocol,Report incidents in 24 hours,Employees for password compliance,Security breach penalties,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-673,Incident communication,All employees and contractors,Access control implementation,Minimum 12-character passwords,Management for risk assessments,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-674,Define information boundaries,All business units,Access control implementation,Document access requests,Employees for password compliance,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-675,Define information boundaries,All information incidents,Regular updates and patches,Apply updates weekly,Employees for password compliance,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-676,Define information boundaries,All business units,Password complexity rules,Document risk findings quarterly,Management for risk assessments,Access revocation for violations,Notify affected parties,2024-09-24,2024-09-24,Active
POL-677,Acceptable resource use,All employees and contractors,Access control implementation,Document access requests,Employees for password compliance,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-678,Acceptable resource use,All information incidents,Quarterly risk assessments,Apply updates weekly,Management for risk assessments,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-679,Asset protection,All network devices,Incident reporting protocol,Document access requests,Employees for password compliance,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-680,Define information boundaries,All network devices,Access control implementation,Apply updates weekly,Response Team for incidents,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-681,Asset protection,All business units,Access control implementation,Report incidents in 24 hours,Admins for updates,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Active
POL-682,Incident communication,All business units,Quarterly risk assessments,Document risk findings quarterly,Management for risk assessments,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-683,Asset protection,All network devices,Incident reporting protocol,Apply updates weekly,IT Security Team for access control,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-684,Risk assessment framework,All business units,Quarterly risk assessments,Document risk findings quarterly,Employees for password compliance,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-685,Acceptable resource use,All network devices,Password complexity rules,Apply updates weekly,Employees for password compliance,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-686,Risk assessment framework,All systems and data,Password complexity rules,Apply updates weekly,Admins for updates,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Active
POL-687,Incident communication,All network devices,Password complexity rules,Minimum 12-character passwords,IT Security Team for access control,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-688,Define information boundaries,All network devices,Quarterly risk assessments,Minimum 12-character passwords,Admins for updates,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Active
POL-689,Risk assessment framework,All business units,Access control implementation,Apply updates weekly,Response Team for incidents,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-690,Define information boundaries,All network devices,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-691,Acceptable resource use,All systems and data,Quarterly risk assessments,Apply updates weekly,Admins for updates,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-692,Asset protection,All business units,Incident reporting protocol,Document risk findings quarterly,Management for risk assessments,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-693,Asset protection,All information incidents,Quarterly risk assessments,Apply updates weekly,Response Team for incidents,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-694,Asset protection,All employees and contractors,Regular updates and patches,Document access requests,Admins for updates,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-695,Acceptable resource use,All employees and contractors,Incident reporting protocol,Minimum 12-character passwords,Employees for password compliance,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-696,Acceptable resource use,All business units,Quarterly risk assessments,Apply updates weekly,Management for risk assessments,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Active
POL-697,Acceptable resource use,All systems and data,Incident reporting protocol,Minimum 12-character passwords,IT Security Team for access control,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-698,Define information boundaries,All network devices,Access control implementation,Apply updates weekly,Response Team for incidents,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-699,Define information boundaries,All employees and contractors,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Security breach penalties,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-700,Incident communication,All employees and contractors,Access control implementation,Report incidents in 24 hours,Management for risk assessments,Damage control for delays,Notify affected parties,2024-09-24,2024-09-24,Active
